法规名,prelaws,postlaws
行政法规\中华人民共和国人民币管理条例.,"《中华人民共和国中国人民银行法》
",无
行政法规\防范和处置非法集资条例（国务院令第737号）,无,"《非法金融机构和非法金融业务活动取缔办法》
"
部门规章\中国人民银行 中国银行业监督管理委员会令〔2016〕第2号（银行卡清算机构管理办法）,"《中华人民共和国中国人民银行法》
《国务院关于实施银行卡清算机构准入管理的决定》（国发〔2015〕22号）
",无
部门规章\中国人民银行 中国银行业监督管理委员会令〔2017〕第2号（汽车贷款管理办法）（中国人民银行 中国银行业监督管理委员会令〔2017〕第2号）,"《中华人民共和国中国人民银行法》
《中华人民共和国银行业监督管理法》
《中华人民共和国商业银行法》
","《汽车贷款管理办法》(中国人民银行中国银行业监督管理委员会令〔2004〕第2号发布)
"
部门规章\中国人民银行 国家发展和改革委员会 财政部 中国证券监督管理委员会令〔2019〕第5号（信用评级业管理暂行办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国公司法》
《中华人民共和国证券法》
《中华人民共和国预算法》
《企业债券管理条例》
",无
部门规章\中国人民银行 海关总署令〔2020〕第3号（修改《黄金及黄金制品进出口管理办法》）,无,无
部门规章\中国人民银行令〔2016〕第3号（金融机构大额交易和可疑交易报告管理办法）,"《中华人民共和国反洗钱法》
《中华人民共和国中国人民银行法》
《中华人民共和国反恐怖主义法》
","《金融机构报告涉嫌恐怖融资的可疑交易管理办法》(中国人民银行令〔2007〕第1号)
《金融机构大额交易和可疑交易报告管理办法》(中国人民银行令〔2006〕第2号)和2007年6月11日发布的《金融机构报告涉嫌恐怖融资的可疑交易管理办法》(中国人民银行令〔2007〕第1号)
"
部门规章\中国人民银行令〔2017〕第1号（内地与香港债券市场互联互通合作管理暂行办法）（中国人民银行令〔2017〕第1号）,"《中华人民共和国中国人民银行法》
",无
部门规章\中国人民银行令〔2017〕第3号（应收账款质押登记办法）（中国人民银行令〔2017〕第3号）,"《中华人民共和国物杈法》
《中华人民共和国物权法》
",无
部门规章\中国人民银行令〔2018〕第1号,"《国务院办公厅关于进一步做好“放管服”改革涉及的规章、规范性文件清理工作的通知》（国办发〔2017〕40号）
","外商投资企业外汇登记管理暂行办法（（96）汇资函字第187号文印发）
境内机构外币现钞收付管理暂行办法（（96）汇管函字第211号文印发）
有价单证及重要空白凭证管理办法（银发〔1997〕163号文印发）
国内信用证结算办法（银发〔1997〕265号文印发）
装帧流通人民币管理办法（中国人民银行令〔2005〕第4号发布，中国人民银行令〔2016〕第1号修订）
"
部门规章\中国人民银行令〔2018〕第2号,无,无
部门规章\中国人民银行令〔2018〕第3号（中国人民银行规章制定程序与管理规定）,"《中华人民共和国立法法》
《规章制定程序条例》
《法规规章备案条例》
","《规章制定标准规程》(银办发〔2002]268号文印发)
"
部门规章\中国人民银行令〔2019〕第1号 （中国人民银行关于取消企业银行账户许可有关事宜的决定）,无,无
部门规章\中国人民银行令〔2019〕第2号 （人民币图样使用管理办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国人民币管理条例》
","《人民币图样使用管理办法》(中国人民银行令〔2005]第4号发布)
"
部门规章\中国人民银行令〔2019〕第3号 （中国人民银行货币鉴别及假币收缴、鉴定管理办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国商业银行法》
《全国人民代表大会常务委员会关于惩治破坏金融秩序犯罪的决定》
《中华人民共和囯人民币管理条例》
","《中国人民银行假币收缴、鉴定管理办法》(中国人民银行令〔2003〕第4号发布)
"
部门规章\中国人民银行令〔2019〕第4号（应收账款质押登记办法）,"《中华人民共和国物权法》
","《应收账款质押登记办法》(中国人民银行令〔2017第3号发布)
"
部门规章\中国人民银行令〔2020〕第1号（中国人民银行行政许可实施办法）,"《中华人民共和国行政许可法》
《中华人民共和国中国人民银行法》
",无
部门规章\中国人民银行令〔2020〕第2号（关于修改《教育储蓄管理办法》等规章的决定）,无,无
部门规章\中国人民银行令〔2020〕第4号（金融控股公司监督管理试行办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国公司法》
《中华人民共和国商业银行法》
《中华人民共和国证券法》
《中华人民共和国证券投资基金法》
《中华人民共和国保险法》
《中华人民共和国银行业监督管理法》
《中华人民共和国信托法》
《国务院关于实施金融控股公司准入管理的决定》（国发〔2020〕12号）
",无
部门规章\中国人民银行令〔2020〕第5号（中国人民银行金融消费者权益保护实施办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国商业银行法》
《中华人民共和国消费者权益保护法》
《国务院办公厅关于加强金融消费者权益保护工作的指导意见》（国办发〔2015〕81号）
",无
部门规章\中国人民银行令〔2021〕第1号（非银行支付机构客户备付金存管办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国电子商务法》
《中华人民共和国网络安全法》
《非金融机构支付服务管理办法》（中国人民银行令〔2010〕第2号发布）
","《支付机构客户备付金存管办法》（中国人民银行公告〔2013〕第6号公布）
"
部门规章\中国人民银行令〔2021〕第2号（金融控股公司董事、监事、高级管理人员任职备案管理暂行规定）,无,无
部门规章\中国人民银行令〔2021〕第3号（金融机构反洗钱和反恐怖融资监督管理办法）,"《中华人民共和国反洗钱法》
《中华人民共和国中国人民银行法》
《中华人民共和国反恐怖主义法》
","《金融机构反洗钱监督管理办法（试行）》（银发〔2014〕344号文印发）
"
部门规章\中国人民银行关于修改《金融机构大额交易和可疑交易报告管理办法》的决定（中国人民银行银行令〔2018〕第2号）,无,无
规范性文件\中国人民银行 中华人民共和国国家发展和改革委员会 中国证券监督管理委员会公告〔2020〕第22号（公司信用类债券信息披露管理办法）,"《中华人民共和国中国人民银行法》
《中华人民共和国证券法》
《中华人民共和国公司法》
《企业债券管理条例》
","《企业债券发行信息披露指引》（发改办财金〔2015〕3127号文件附件2）
《公开发行证券的公司信息披露内容与格式准则第39号-公司债券半年度报告的内容与格式》（证监会公告〔2016〕9号）、《企业债券发行信息披露指引》（发改办财金〔2015〕3127号文件附件2）
《公开发行证券的公司信息披露内容与格式准则第38号-公司债券年度报告的内容与格式》（证监会公告〔2016〕3号）、《公开发行证券的公司信息披露内容与格式准则第39号-公司债券半年度报告的内容与格式》（证监会公告〔2016〕9号）、《企业债券发行信息披露指引》（发改办财金〔2015〕3127号文件附件2）
《公开发行证券的公司信息披露内容与格式准则第23号-公开发行公司债券募集说明书》（证监会公告〔2015〕2号）、《公开发行证券的公司信息披露内容与格式准则第38号-公司债券年度报告的内容与格式》（证监会公告〔2016〕3号）、《公开发行证券的公司信息披露内容与格式准则第39号-公司债券半年度报告的内容与格式》（证监会公告〔2016〕9号）、《企业债券发行信息披露指引》（发改办财金〔2015〕3127号文件附件2）
"
规范性文件\中国人民银行 中国证券监督管理委员会公告[2018]第14号,"《中华人民共和国中国人民银行法》
《中华人民共和国证券法》
",无
规范性文件\中国人民银行 中国证券监督管理委员会公告〔2017〕第20号（绿色债券评估认证行为指引（暂行））（中国人民银行 中国证券监督管理委员会公告〔2017〕第20号）,无,无
规范性文件\中国人民银行 中国证券监督管理委员会关于内地与香港股票市场交易互联互通机制有关问题的通知（银发〔2016〕282号）,"《境外机构人民币银行结算账户管理办法》
《中国人民银行关于境外机构人民币银行结算账户开立和使用有关问题的通知》
《人民币银行结算账户管理办法》
《中国人民银行中国证券监督管理委员会关于沪港股票市场交易互联互通机制试点有关问题的通知》
","《中国人民银行中国证券监督管理委员会关于沪港股票市场交易互联互通机制试点有关问题的通知》(银发〔2014336号)
"
规范性文件\中国人民银行 中国银行业监督管理委员会公告〔2016〕第10号（国内信用证结算办法）(中国人民银行 中国银行业监督管理委员会公告〔2016〕第10号),无,"《信用证会计核算手续》(银发〔1997〕265号文印发)
《国内信用证结算办法》和《信用证会计核算手续》(银发〔1997〕265号文印发)
"
规范性文件\中国人民银行 中国银行业监督管理委员会关于加强票据业务监管 促进票据市场健康发展的通知（银发〔2016〕126号）,无,无
规范性文件\中国人民银行 中国银行业监督管理委员会关于调整个人住房贷款政策有关问题的通知（银发〔2016〕26号）,无,无
规范性文件\中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家发展改革委 财政部关于进一步深化小微企业金融服务的意见（银发[2018]162 号）,无,无
规范性文件\中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局公告〔2020〕第5号（标准化债权类资产认定规则）,"《中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于规范金融机构资产管理业务的指导意见》（银发〔2018〕106号）
",无
规范性文件\中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于规范金融机构资产管理业务的指导意见（银发[2018]106号）,无,无
